unique_id,n_estimators,max_depth,min_samples_split,max_features,criterion
M13713,529,1,58,0.7501065649375057,squared_error
M13737,944,5,32,0.5100229215872223,absolute_error
M13739,790,9,98,0.8995792821083618,absolute_error
M13763,590,10,9,0.5435646498507704,absolute_error
M14066,381,4,79,0.673869891681622,squared_error
M14125,301,8,47,0.7842169744343243,absolute_error
M14259,991,10,6,0.8401184452433519,squared_error
M14370,349,4,58,0.7193007567311602,squared_error
M14563,524,1,68,0.7371489726438842,squared_error
M14564,989,5,10,0.5065244725322233,absolute_error
M14884,994,6,2,0.6050712182289739,absolute_error
M14935,590,10,9,0.5435646498507704,absolute_error
M14977,162,7,16,0.972334458524792,squared_error
M15009,590,10,9,0.5435646498507704,absolute_error
M15172,590,10,9,0.5435646498507704,absolute_error
M15297,664,8,2,0.5511500379025427,squared_error
M15423,531,1,48,0.719436761328398,absolute_error
M15637,739,1,71,0.818821055313876,squared_error
M15779,982,10,36,0.6097003154910006,absolute_error
M15789,418,2,49,0.6052172327347825,squared_error
M16091,571,8,61,0.7724415914984484,absolute_error
M16105,245,7,11,0.8030517327197805,squared_error
M16125,361,7,77,0.5913147091945994,squared_error
M16299,61,7,37,0.8285095497807468,absolute_error
M16381,590,10,9,0.5435646498507704,absolute_error
M16482,703,6,86,0.9403243433874017,squared_error
M16648,662,8,11,0.7172086523823645,absolute_error
M16875,720,10,10,0.5840091101691164,absolute_error
M16921,790,9,98,0.8995792821083618,absolute_error
M17027,457,8,55,0.7042381710011489,squared_error
M17132,224,7,76,0.996364089162926,absolute_error
M17325,424,6,3,0.605151503533745,absolute_error
M17389,248,2,66,0.626645801269891,squared_error
M17603,77,10,43,0.6432303834279159,squared_error
M17618,590,10,9,0.5435646498507704,absolute_error
M17869,989,5,10,0.5065244725322233,absolute_error
M17882,162,7,16,0.972334458524792,squared_error
M17963,53,10,2,0.5915923471303716,absolute_error
M18002,227,6,74,0.5331209814859307,squared_error
M18281,162,7,16,0.972334458524792,squared_error
M18352,592,8,6,0.6952117701502404,absolute_error
M18514,162,7,16,0.972334458524792,squared_error
M18641,162,7,16,0.972334458524792,squared_error
M18687,590,10,9,0.5435646498507704,absolute_error
M18785,632,7,95,0.8409101495517417,absolute_error
M18980,93,2,66,0.7172086523823645,squared_error
M19150,989,5,10,0.5065244725322233,absolute_error
M19159,162,7,16,0.972334458524792,squared_error
M19350,138,10,94,0.7698469838184474,absolute_error
M19505,571,8,61,0.7724415914984484,absolute_error
M19519,790,9,98,0.8995792821083618,absolute_error
M19697,944,5,32,0.5100229215872223,absolute_error
M19774,944,5,4,0.5100229215872223,absolute_error
M19935,996,5,2,0.6009121374822013,absolute_error
M19963,466,9,97,0.6917207594128889,squared_error
M20107,162,7,16,0.972334458524792,squared_error
M20305,790,9,98,0.8995792821083618,absolute_error
M20356,590,10,9,0.5435646498507704,absolute_error
M20570,590,10,9,0.5435646498507704,absolute_error
M20710,349,4,58,0.7193007567311602,squared_error
M20880,349,4,58,0.7193007567311602,squared_error
M20917,571,8,61,0.7724415914984484,absolute_error
M20998,539,10,37,0.5272384242655873,absolute_error
M21120,385,7,72,0.9463036350878382,squared_error
M21180,162,7,16,0.972334458524792,squared_error
M21356,162,7,16,0.972334458524792,squared_error
M21498,162,7,16,0.972334458524792,squared_error
M21578,162,7,16,0.972334458524792,squared_error
M21737,993,1,33,0.9980304321680166,squared_error
M21841,993,1,33,0.9980304321680166,squared_error
M21908,999,1,44,0.9096164075945381,squared_error
M22037,97,3,29,0.6129178306739302,squared_error
M22106,590,10,9,0.5435646498507704,absolute_error
M22255,423,6,25,0.6088096148557345,absolute_error
M22422,996,1,35,0.9279450951229405,squared_error
M22481,436,1,37,0.655973032093799,absolute_error
M22729,466,9,97,0.6917207594128889,squared_error
M22747,909,1,12,0.94182954992731,squared_error
M22956,55,10,36,0.6036234806023448,squared_error
M23128,705,3,70,0.8028959014844191,squared_error
M23141,724,2,27,0.5344970132112133,squared_error
M23145,379,2,72,0.6385378197868016,absolute_error
M23364,165,10,42,0.8926656883820832,squared_error
M23561,825,6,17,0.8541301351525563,squared_error
M23634,231,10,9,0.9536133980548784,squared_error
M23709,162,7,16,0.972334458524792,squared_error
M23887,590,10,9,0.5435646498507704,absolute_error
M23944,590,10,9,0.5435646498507704,absolute_error
M24093,507,8,94,0.9426209330422631,squared_error
M24353,808,10,24,0.6809875257282971,absolute_error
M24394,385,9,26,0.8650458427079648,squared_error
M24397,944,5,4,0.5100229215872223,absolute_error
M24561,992,1,35,0.9397815605006726,squared_error
M24788,457,3,42,0.9959503047782995,absolute_error
M24809,420,8,2,0.7832564728960479,absolute_error
M25091,590,10,9,0.5435646498507704,absolute_error
M25102,996,1,35,0.9279450951229405,squared_error
M25172,487,3,79,0.587939674219799,absolute_error
M25353,713,1,68,0.8353189348090797,squared_error
M25418,571,8,61,0.7724415914984484,absolute_error
M25542,760,6,89,0.914095836552273,absolute_error
M25751,643,6,15,0.7385907575078561,absolute_error
M25801,759,7,87,0.739891127960863,absolute_error
M25967,333,6,17,0.8126431668940065,absolute_error
M26001,509,9,8,0.537602750109416,squared_error
M26125,571,8,61,0.7724415914984484,absolute_error
M26212,162,7,16,0.972334458524792,squared_error
M26445,236,7,21,0.5035241637982655,absolute_error
M26476,590,10,9,0.5435646498507704,absolute_error
M26758,511,3,74,0.711243842625624,squared_error
M26788,864,9,2,0.9039761888805167,squared_error
M26860,115,10,8,0.9971136285022687,squared_error
M26874,908,10,79,0.8982055576794328,absolute_error
M27182,54,6,25,0.9891610797881222,squared_error
M27253,80,7,22,0.9447437530757261,absolute_error
M27419,507,1,51,0.6274111811331365,absolute_error
M27429,802,6,13,0.5592992243314949,absolute_error
M27489,248,2,66,0.626645801269891,squared_error
M27594,317,9,13,0.8130949195664845,squared_error
M27751,248,2,66,0.626645801269891,squared_error
M28057,466,9,97,0.6917207594128889,squared_error
M28076,994,2,28,0.5409887421403241,squared_error
M28309,54,5,27,0.5836001337391648,squared_error
M28336,992,1,39,0.9549333001965664,squared_error
M28401,89,8,46,0.7590094114946487,absolute_error
M28539,539,1,65,0.5988168738394902,absolute_error
M28589,790,9,98,0.8995792821083618,absolute_error
M28790,58,1,53,0.7228388590496913,squared_error
M28814,590,10,9,0.5435646498507704,absolute_error
M29080,944,5,35,0.6592518925690624,squared_error
M29158,790,9,98,0.8995792821083618,absolute_error
M29293,152,6,42,0.5002709980908513,squared_error
M29364,713,1,68,0.8353189348090797,squared_error
M29499,134,9,5,0.8698477335560693,squared_error
M29516,831,6,98,0.8876505305662483,absolute_error
M29727,713,1,68,0.8353189348090797,squared_error
M29851,542,10,72,0.7558838588940335,squared_error
M29973,662,5,22,0.6077925003059325,absolute_error
M30172,632,7,95,0.8409101495517417,absolute_error
M30240,466,9,97,0.6917207594128889,squared_error
M30431,456,8,99,0.9331820703667243,absolute_error
M30475,460,1,76,0.94841734924604,squared_error
M30482,162,7,16,0.972334458524792,squared_error
M30731,246,10,9,0.7306649163474376,squared_error
M30874,66,8,28,0.5837224971289321,absolute_error
M30927,499,2,22,0.6708346680765118,squared_error
M31075,956,7,34,0.9973357038996279,absolute_error
M31288,162,7,16,0.972334458524792,squared_error
M31460,662,7,11,0.5331209814859307,squared_error
M31467,367,9,11,0.536208307164076,absolute_error
M31591,466,9,97,0.6917207594128889,squared_error
M31657,54,6,35,0.8860718334923922,squared_error
M31681,461,9,83,0.5675056499431321,squared_error
M31901,377,10,66,0.6699815146494449,squared_error
M32053,152,4,20,0.8085945928776219,absolute_error
M32243,53,7,3,0.5592992243314949,absolute_error
M32319,606,5,83,0.7407567843669725,absolute_error
M32416,590,10,9,0.5435646498507704,absolute_error
M32526,301,8,47,0.7842169744343243,absolute_error
M32611,705,7,9,0.5398482151527234,absolute_error
M32744,670,1,72,0.8445982029790196,squared_error
M32831,53,3,40,0.676528499533841,squared_error
M33088,349,4,58,0.7193007567311602,squared_error
M33091,590,10,9,0.5435646498507704,absolute_error
M33311,944,5,4,0.5100229215872223,absolute_error
M33449,590,10,9,0.5435646498507704,absolute_error
M33507,923,4,28,0.9274166918465487,absolute_error
M33690,64,3,75,0.642144289245395,squared_error
M33740,853,9,34,0.6862271205918665,absolute_error
M33846,961,10,8,0.5065244725322231,absolute_error
M33963,1000,5,33,0.5143232851204266,absolute_error
M34151,257,7,27,0.5890728227348563,squared_error
M34210,324,9,47,0.6737497810382483,absolute_error
M34407,162,7,16,0.972334458524792,squared_error
M34452,349,4,58,0.7193007567311602,squared_error
M34525,410,4,17,0.9346469563546368,squared_error
M34630,461,6,24,0.6064853257763758,squared_error
M34839,162,7,16,0.972334458524792,squared_error
M34887,56,3,21,0.9157129773214,absolute_error
M34918,557,10,34,0.943315868650091,absolute_error
M35070,443,6,83,0.683333022103138,absolute_error
M35298,416,2,53,0.6783928593719979,squared_error
M35308,571,8,61,0.7724415914984484,absolute_error
M35521,238,9,20,0.7117308757700318,absolute_error
M35607,115,1,75,0.5945369279184526,squared_error
M35692,466,9,97,0.6917207594128889,squared_error
M35887,575,8,7,0.5345225345104523,absolute_error
M36054,950,1,32,0.9648201775139152,squared_error
M36061,590,10,9,0.5435646498507704,absolute_error
M36187,69,5,4,0.9648201775139152,squared_error
M36254,555,9,2,0.746559561375858,squared_error
M36471,114,6,20,0.6715227288286428,absolute_error
M36596,828,7,50,0.8626658827138621,absolute_error
M36633,162,7,16,0.972334458524792,squared_error
M36965,813,10,21,0.5427454727898333,absolute_error
M37023,71,6,16,0.9971136285022687,squared_error
M37113,368,3,58,0.7185043607494614,squared_error
M37268,162,7,16,0.972334458524792,squared_error
M37286,572,10,12,0.914439625126086,squared_error
M37374,72,9,22,0.556641399386176,absolute_error
M37469,364,4,36,0.5915923471303716,squared_error
M37697,632,7,95,0.8409101495517417,absolute_error
M37813,990,1,69,0.6211103398948503,squared_error
M37814,239,10,83,0.7444855177012347,absolute_error
M38083,259,1,70,0.5890728227348563,squared_error
M38116,950,1,32,0.9648201775139152,squared_error
M38298,566,10,4,0.6671582138803674,squared_error
M38505,409,10,50,0.5003362982534675,squared_error
M38515,439,4,41,0.5002931677842143,squared_error
M38691,460,9,22,0.5117097920667579,squared_error
M38752,66,10,34,0.9971348327763211,absolute_error
M38868,578,1,62,0.6616403885712644,absolute_error
M38878,122,8,54,0.8301598892544171,absolute_error
M39183,466,9,97,0.6917207594128889,squared_error
M39275,226,10,10,0.5386234346014375,absolute_error
M39321,161,7,17,0.9539795862398341,squared_error
M39548,248,2,66,0.626645801269891,squared_error
M39629,78,3,79,0.6285080849302022,absolute_error
M39673,76,6,53,0.5912177777584391,absolute_error
M39785,53,5,3,0.9353276978195422,absolute_error
M40056,164,8,2,0.5551123119814392,absolute_error
M40073,958,4,24,0.5174710869240299,absolute_error
M40206,301,8,47,0.7842169744343243,absolute_error
M40226,228,1,100,0.8180299975965639,squared_error
M40502,554,10,10,0.7346889373380368,absolute_error
