unique_id,size,complexity,transformations,n_transformations,final_status,nmae_AutoARIMA,nrmse_AutoARIMA,smape_AutoARIMA,nmae_naive,nrmse_naive,smape_naive,nmae_seasonal_naive,nrmse_seasonal_naive,smape_seasonal_naive,%nmae_arima_vs_snaive,%nrmse_arima_vs_snaive,%smape_arima_vs_snaive,%nmae_arima_vs_naive,%nrmse_arima_vs_naive,%smape_arima_vs_naive
M80,585,22292.093,[],0,stationary,0.119517927542703,0.1545203672971202,0.06097671250784017,0.32359782889635563,0.35271912376589887,0.14362392107590483,0.1434479193590075,0.1696926687799784,0.07111190699253983,16.682006907618394,8.941047124746698,14.252457729424863,63.065905617993764,56.191667282640445,57.54418062739413
M160,91,273.198,['difference'],1,stationary,0.1530327482246497,0.1784448473631113,0.08040650386731635,0.1489420170376477,0.17372973322455926,0.07802917658346437,0.15132362370614635,0.17668279088299288,0.07947382833073705,-1.1294499012409902,-0.9972994377733938,-1.1735631165242157,-2.746525975922568,-2.714051331937175,-3.0467158413610322
M251,289,2168.225,['difference'],1,stationary,0.599868203853843,0.6283072828649731,0.23409321162711427,0.41559458552410783,0.4407823638334712,0.17645744072659095,0.7791699295223179,0.8407417171305791,0.27120394294165684,23.01188981694899,25.26750248466759,13.683699031811669,-44.339754353957,-42.543652926719474,-32.66270363165139
M293,150,5295.457,['detrend'],1,stationary,0.2781233166227366,0.30687548788308805,0.15594701431267968,0.24836951134899396,0.28648906135647617,0.13565776035758872,0.23296659728417088,0.2585992204820413,0.13395069815886862,-19.383345022412758,-18.66837313393964,-16.421203066611064,-11.979652861632589,-7.115952850027039,-14.956205897553707
M591,142,372.494,['difference'],1,stationary,0.04383248716554037,0.04961196816594407,0.021588028758190877,0.028322487202301405,0.03069452257793524,0.014078435228386936,0.03107652347259537,0.036927572584343184,0.015414280821658367,-41.04694562824494,-34.34938907134911,-40.052130929507086,-54.762139541115815,-61.631340054162095,-53.341109349013685
M609,682,8363.231,"['difference', 'difference']",2,stationary,0.11055620554038098,0.12707010416032855,0.05737155802772517,0.12116473146373535,0.13870075820287894,0.06331649415472446,0.26826055194107584,0.28711051806205556,0.1554930291096331,58.787751407942764,55.74174536759262,63.103453346918634,8.75545696771466,8.385429317940805,9.389237680266751
M659,324,1068.082,['difference'],1,stationary,0.008769168061980694,0.010136198765278178,0.0043582644038064715,0.012028542303771662,0.01568899735581732,0.006037622816723868,0.015698267074413862,0.018205352986100574,0.007963408518895279,44.13926059218791,44.32297592352664,45.271369747447416,27.09700111183847,35.392947456136966,27.814894436029856
M795,324,3263.832,['difference'],1,stationary,0.03313996717161788,0.03462096242000762,0.01667246290320283,0.03183356310314576,0.03492026385562494,0.016015145936665757,0.03340017546058403,0.0355451881210472,0.017008081646580422,0.7790626407733382,2.6001429445025894,1.9732898180499365,-4.103857504857895,0.8570995822218294,-4.104345780778586
M922,324,797.621,['difference'],1,stationary,0.015063425640992454,0.01858762504771664,0.007495012233937855,0.02646815550041357,0.03237714230942901,0.013229439557899953,0.034119106699751864,0.039086808938023236,0.01719537346968593,55.850468848582125,52.44527360320072,56.41262315615906,43.08849500012539,42.59028523865903,43.34595807225853
M1085,324,1933.313,['difference'],1,stationary,0.006029473015617097,0.008585326324071163,0.0029998172104301096,0.025738668541410353,0.02834336092105867,0.012996666121373936,0.028423848301989962,0.03026397238783977,0.014450876894396404,78.78727415247648,71.6318591160201,79.24127904242721,76.57426216155503,69.70956850183423,76.91856371152986
